Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
32,tt0119848,2022-12-30,2022-12-30,,Out to Sea,https://www.imdb.com/title/tt0119848/,movie,6.0,106,1997,"Comedy, Romance",9111,1997-07-02,Martha Coolidge,,
33,tt0098554,2022-12-30,2022-12-30,,Uncle Buck,https://www.imdb.com/title/tt0098554/,movie,7.1,100,1989,Comedy,99424,1989-08-16,John Hughes,,
34,tt0063374,2022-12-30,2022-12-30,,The Odd Couple,https://www.imdb.com/title/tt0063374/,movie,7.6,105,1968,Comedy,35625,1968-05-02,Gene Saks,,
35,tt0120783,2022-12-30,2022-12-30,,The Parent Trap,https://www.imdb.com/title/tt0120783/,movie,6.6,128,1998,"Adventure, Comedy, Drama, Family, Romance",141246,1998-07-20,Nancy Meyers,,
36,tt0117247,2022-12-30,2022-12-30,,One Fine Day,https://www.imdb.com/title/tt0117247/,movie,6.5,108,1996,"Comedy, Drama, Romance",46966,1996-12-20,Michael Hoffman,,
37,tt0079367,2022-12-30,2022-12-30,,The Jerk,https://www.imdb.com/title/tt0079367/,movie,7.1,94,1979,Comedy,59365,1979-12-14,Carl Reiner,,
38,tt0093936,2022-12-30,2022-12-30,,The Secret of My Success,https://www.imdb.com/title/tt0093936/,movie,6.5,111,1987,"Comedy, Romance",34623,1987-04-07,Herbert Ross,,
39,tt0090142,2022-12-30,2022-12-30,,Teen Wolf,https://www.imdb.com/title/tt0090142/,movie,6.1,91,1985,"Comedy, Fantasy, Romance",55186,1985-08-23,Rod Daniel,,
40,tt0110771,2022-12-30,2022-12-30,,The Paper,https://www.imdb.com/title/tt0110771/,movie,6.6,112,1994,"Comedy, Drama",14443,1994-03-25,Ron Howard,,
41,tt0085970,2022-12-30,2022-12-30,,Mr. Mom,https://www.imdb.com/title/tt0085970/,movie,6.6,91,1983,"Comedy, Drama",25551,1983-07-22,Stan Dragoti,,
42,tt0095253,2022-12-30,2022-12-30,,The Great Outdoors,https://www.imdb.com/title/tt0095253/,movie,6.6,91,1988,Comedy,48336,1988-06-17,Howard Deutch,,
43,tt0090056,2022-12-30,2022-12-30,,Spies Like Us,https://www.imdb.com/title/tt0090056/,movie,6.4,102,1985,"Adventure, Comedy",50653,1985-12-06,John Landis,,
44,tt0094890,2022-12-31,2022-12-31,,Cocoon: The Return,https://www.imdb.com/title/tt0094890/,movie,5.4,116,1988,"Adventure, Comedy, Mystery, Romance, Sci-Fi",16719,1988-11-23,Daniel Petrie,,
45,tt0489099,2023-01-01,2023-01-01,,Jumper,https://www.imdb.com/title/tt0489099/,movie,6.1,88,2008,"Action, Adventure, Sci-Fi, Thriller",309757,2008-02-06,Doug Liman,,
46,tt0104437,2023-01-01,2023-01-01,,"Honey, I Blew Up the Kid",https://www.imdb.com/title/tt0104437/,movie,4.9,89,1992,"Adventure, Comedy, Family, Romance, Sci-Fi",44995,1992-07-17,Randal Kleiser,,
47,tt0090660,2023-01-03,2023-01-03,,Armed and Dangerous,https://www.imdb.com/title/tt0090660/,movie,5.7,88,1986,"Action, Comedy, Crime",12022,1986-08-15,Mark L. Lester,,
48,tt1013753,2023-01-04,2023-01-04,,Milk,https://www.imdb.com/title/tt1013753/,movie,7.5,128,2008,"Biography, Drama",174446,2008-10-28,Gus Van Sant,,
